PCA_0,PCA_1,PCA_2,PCA_3,PCA_4
-25.37,13.67,-20.20,-8.79,7.82
-37.41,-18.98,-12.76,-8.24,-10.48
-22.11,22.46,-8.91,-14.55,-8.76
-10.96,13.46,-15.64,-14.47,-11.95
-28.01,-8.17,-18.45,1.09,-2.14
-39.60,-23.34,6.83,9.99,-14.46
-25.62,-4.25,-3.21,-5.50,0.02
-46.48,-5.52,-9.49,-9.32,0.67
-22.99,-13.88,1.93,-4.77,13.08
-35.53,1.03,-23.92,19.26,-12.78
-40.73,0.17,-8.74,14.92,-10.35
-49.18,-32.50,-7.95,-4.18,2.18
-25.84,-8.56,4.38,11.97,-3.09
-25.78,-5.00,-4.87,13.27,-15.55
-21.54,2.67,0.45,-20.48,-14.48
-31.12,-12.74,-2.33,-18.01,-3.90
-20.36,18.69,5.55,15.53,-10.49
-40.02,-24.03,6.02,18.12,2.30
-39.34,-18.61,0.33,0.16,-2.31
-40.10,-12.63,-8.34,-3.76,4.38
-30.19,-16.08,12.98,6.98,-0.91
-26.95,-1.59,10.87,15.52,-3.05
-7.46,10.84,-5.13,2.92,9.51
-41.15,-8.18,-5.89,-4.40,-5.93
-46.01,-19.71,-0.97,-3.13,-10.92
-30.70,-5.77,2.94,-3.80,-3.86
-60.82,-31.61,-5.97,-1.19,12.62
-25.32,-6.33,-4.67,-10.14,-11.29
-37.10,-15.14,-11.66,-12.00,-6.00
-22.16,17.63,2.98,9.54,-3.30
-20.61,-3.04,-5.05,-1.89,-12.55
-29.51,-4.76,-23.63,-4.03,-3.30
-33.63,-16.00,-3.75,13.03,4.01
-35.49,-14.57,7.44,10.68,3.86
-24.77,4.90,10.92,13.42,3.85
-41.48,-24.81,-12.58,-9.08,-14.15
-36.77,-24.66,5.53,-1.59,14.83
-46.75,-31.97,8.57,-1.72,9.39
-25.05,0.36,12.40,-5.43,-14.84
-30.93,-3.83,-7.20,-10.19,9.06
-48.87,-20.83,-15.46,16.06,-12.82
-34.50,-9.72,-11.97,-6.75,-8.92
-27.47,-7.38,-2.13,-10.48,-14.16
-22.31,13.02,9.17,14.02,3.66
-23.86,16.69,2.69,-16.77,-2.50
-31.87,1.25,11.25,13.21,-20.20
-28.69,-10.37,2.69,9.32,-11.55
-42.94,-11.41,-2.16,10.82,-16.01
-40.23,-14.80,4.61,2.67,-16.46
-40.41,-21.61,-4.18,7.58,-18.29
-28.00,-2.41,-2.09,21.08,9.93
-20.31,5.11,-5.69,2.07,-28.62
-30.00,-14.71,7.06,-18.45,-0.25
-33.49,-24.48,-3.52,12.65,-5.51
-46.61,-8.08,-1.16,-2.01,-7.76
-27.73,-2.21,-20.04,-7.97,-16.11
-32.75,-12.92,-11.97,4.22,-11.86
-32.43,-6.28,2.26,17.55,-11.37
-40.18,-12.90,3.91,-11.12,-4.43
-27.37,-11.97,4.53,15.30,-3.18
38.85,-1.27,31.55,-13.22,1.53
79.70,1.57,14.43,-8.43,11.94
-5.61,-18.26,15.05,3.65,-4.95
13.19,20.47,-0.12,-11.12,-6.29
3.15,34.46,13.03,-23.40,20.74
13.82,19.91,7.82,-8.81,-11.19
12.61,18.17,-0.44,-7.98,7.75
49.77,5.07,-14.89,16.31,-10.87
-15.69,22.48,-2.08,-3.86,-9.32
2.75,7.91,-20.05,11.51,8.80
11.31,6.75,-4.05,-6.11,1.04
75.92,-26.34,2.38,-10.98,-9.03
55.67,-4.55,11.27,13.81,-12.35
1.28,-15.45,-3.32,-20.14,-0.32
43.38,7.54,32.33,-4.28,-6.85
110.31,-56.21,31.68,11.39,-16.16
90.03,-21.53,18.81,-7.60,-13.98
22.93,-3.91,-18.32,17.99,-2.45
12.19,9.59,-5.49,1.95,14.34
-14.38,-14.30,-9.52,-17.32,-1.83
51.84,0.74,4.91,11.05,-11.61
50.26,-10.01,-2.73,4.62,6.72
34.63,5.48,-2.20,9.49,6.05
51.10,-0.15,33.48,-7.15,-0.75
27.75,-4.96,9.60,-22.50,-13.22
-16.03,-26.48,31.90,-4.47,11.33
-2.21,4.68,-0.12,-17.34,14.36
-0.79,-24.21,1.64,-7.27,14.19
-7.45,-10.39,-2.28,-20.69,8.17
3.75,2.20,1.13,8.07,-11.41
15.86,16.93,-1.81,-12.39,-4.82
14.46,12.02,4.90,7.77,-7.16
61.95,6.22,-0.08,1.22,21.29
